lnchprg,enroll,staff,expend,salary,benefits,droprate,gradrate,math10,sci11,totcomp,ltotcomp,lexpend,lenroll,lstaff,bensal,lsalary
1.399999976,1862,112.5999985,5765,37498,7420,2.900000095,89.19999695,56.40000153,67.90000153,44918,10.71259403,8.659560204,7.529406548,4.723841667,0.197877213,10.5320425
2.299999952,11355,101.1999969,6601,48722,10370,1.299999952,91.40000153,42.70000076,65.30000305,59092,10.98685074,8.794976234,9.337413788,4.617098808,0.212840199,10.79388618
2.700000048,7685,114,6834,44541,7313,3.5,91.40000153,43.79999924,54.29999924,51854,10.85618782,8.829665184,8.947025299,4.736198425,0.164185807,10.70416546
3.400000095,1148,85.40000153,3586,31566,5989,3.599999905,86.59999847,25.29999924,60,37555,10.53356171,8.184792519,7.045776367,4.44734621,0.189729452,10.35983562
3.400000095,1572,96.09999847,3847,29781,5545,0,100,15.30000019,65.80000305,35326,10.47237492,8.255048752,7.360104084,4.565389156,0.186192542,10.30162621
3.400000095,2496,101.0999985,5070,36801,5895,2.700000048,89.19999695,46,60.5,42696,10.66186047,8.531096458,7.822444916,4.616110325,0.160185859,10.51327991
3.599999905,3358,87.59999847,4474,37863,6934,1.399999976,95.09999847,33.59999847,67.40000153,44797,10.70989609,8.406038284,8.119100571,4.472781181,0.18313393,10.54172993
3.599999905,11983,96,5159,40133,8085,2.5,87.80000305,40.09999847,69.40000153,48218,10.78348732,8.548498154,9.391243935,4.564348221,0.201455161,10.59995461
4.199999809,3499,102.8000031,5012,36451,7253,1.799999952,93.19999695,42.09999847,71.69999695,43704,10.68519497,8.519590378,8.160232544,4.63278532,0.198979452,10.5037241
4.199999809,5095,145,6501,33449,7386,1.899999976,92.09999847,39.79999924,55,40835,10.61729527,8.779711723,8.536014557,4.976733685,0.220813781,10.41777706
4.5,16793,106.9000015,5938,40859,8754,3,88.19999695,30.79999924,58.09999847,49613,10.8120079,8.689127922,9.728717804,4.671893597,0.214249,10.61788273
4.5,984,100.9000015,5987,42785,9279,5.599999905,79.30000305,14.60000038,74.59999847,52064,10.86022854,8.697345734,6.891625881,4.61413002,0.216875076,10.66394329
5.099999905,1116,107.0999985,4843,34085,5907,0.600000024,97.5,51.09999847,48.59999847,39992,10.59643459,8.485289574,7.017506123,4.673762798,0.17330204,10.43661308
5.5,4156,101.1999969,4255,29700,5295,5.300000191,79.69999695,29.20000076,55,34995,10.46296024,8.35585022,8.332308769,4.617098808,0.178282827,10.29890251
5.5,4046,99.90000153,5332,47436,3,0.200000003,98.40000153,49.70000076,62,47439,10.76719952,8.581481934,8.305483818,4.604169846,6.32E-05,10.76713657
